Demande,Status,traité par ETECH,QUESTION POUR CINEPAX
"- Il s’agit d’un ACHAT ferme et définitif d’une séance de cinéma avec le choix des sièges (et non pas une réservation). Le terme indiqué sera donc ACHAT et non pas réservation Terme utilisé pour la vente: ACHAT TICKET EN LIGNE au lieu de RESERVATION
",fait,"La terminologie du site a été entièrement revue pour parler d'achat et non plus de réservation, sur
  toutes les pages et dans les deux langues, et un bandeau « ACHAT · TICKET EN LIGNE » rappelle
  désormais, à chaque étape du parcours (séances, choix des sièges, paiement), qu'il s'agit d'un achat
  ferme et définitif avec sièges attribués.",
- logo cinepax (retirer love…life…fillums),fait,"Logo Cinepax (suppression de ""Love… Life… Films"") : c'est bon, les mentions ont bien été retirées.",
"- « par heurE de séances »,",fait,PAR HEURE DE SÉANCES a été bien corrigé,
- durée du film : un format x h xx est il possible ? sinon retirer le S à x minS,fait,"La durée des films s'affiche désormais au format « 2 h 25 » au lieu de « 145 mins », sur l'ensemble du site — page d'accueil, fiches films, programme de la semaine et prochainement",
- contrôle de l’interdiction et report sur le site de vente en ligne (mention obligatoire),à demander,,à préciser c'est pas claire 
"- contrôle trailer, version, visuel affiche",à demander,,vous devez l'avoir sur votre backoffice 
"- bandeau CINEPAX en bas du site, adresse géographique sur une ligne",fait,"Les coordonnées du bas de page sont désormais présentées sur une ligne chacune avec un pictogramme, l'adresse ouvre directement Google Maps et le numéro lance l'appel d'un simple clic",
"- revoir « nos offres », remonter le programme ?",à demander,,à préciser de quoi vous vouler remonter exactement 
"- au moins au début, rajouter « pour l’achat de billets merci de cliquer sur l’horaire de la séance de votre choix » ?
",fait,"Le message ""Pour acheter vos billets, cliquez sur l'horaire de la
  séance de votre choix"" apparaît sur la page d'accueil comme sur chaque fiche film, l'heure se change
  en bouton ""Acheter"" au passage du curseur, et les séances complètes s'affichent barrées avec la
  mention ÉPUISÉ",
- Y a-t-il moyen de séparer les titre des films et les VO/VF/3D … par un tiret ?,à demander,,cette catégorie vient vraiment des scéances ou du description du scéance pour ajouter le filtre ou les mette en distinction 
"- Le clic d’un client sur un horaire d’un film sur cinepax.mg aboutit bien directement sur l’écran de sélection d’un siège de la séance concernée (à discuter)
",fait,"Les résumés de films fournis par Veezi contiennent des signes de mise en forme (étoiles autour des
  titres, retours à la ligne) que notre site n'interprétait pas : des symboles parasites s'affichaient
  en clair et les paragraphes étaient collés en un bloc illisible. C'est corrigé sur l'ensemble du site
  — accueil, liste des séances, fiche film et page « Prochainement » — où les titres cités apparaissent
  désormais en italique et les paragraphes correctement séparés. Le bandeau d'accueil gagne en plus un
  lien « Lire la suite », affiché uniquement quand le texte est réellement coupé, qui renvoie vers la
  fiche du film. Nous en avons profité pour réparer un défaut qui déformait les noms d'acteurs sur la
  page « Prochainement ». Le tout a été validé sur la totalité du catalogue Veezi (2 371 résumés), sur
  ordinateur et mobile, sans impact sur le parcours d'achat et sans aucune action requise côté Veezi ou
  côté client.",
"- Peut on garder un fond blanc durant tout le parcours d’achat ? (actuellement, le fond est noir à partir du placement jusqu’au mode de paiement qui est moins lisible sur fond noir)
",fait,"Le parcours d'achat en ligne était sombre à partir du choix des places jusqu'au paiement, ce que le client trouvait peu lisible ; il est désormais clair du premier au dernier écran, dans la continuité du reste
  du site. Le plan de salle ne cherche plus à imiter une salle éteinte : il se présente comme le plan du guichet, sur fond blanc, où chaque place se lit d'un coup d'œil — libre, occupée, choisie — avec son
  numéro parfaitement visible, et l'écran de la salle tracé en trait noir franc. Les pages de paiement, de confirmation du billet et de connexion suivent la même logique : fond blanc, textes contrastés, le rouge
  Cinepax réservé à ce qui engage l'achat. Au passage, trois défauts ont été corrigés : le détail des tarifs était écrit en noir sur fond noir, donc invisible ; le QR code du billet était rouge sur noir, ce qui
  gêne les lecteurs et l'impression ; et sur téléphone, le bandeau de validation coupait le message en quatre morceaux. Seul l'espace d'administration reste volontairement sombre, car il s'utilise au guichet
  dans le hall peu éclairé, sur des écrans allumés toute la journée.",
"- Visuel placement en salle en attente de la confirmation du positionnement des sièges de l’équipe Cinepax
",à demander,,vous pouvez directement le vérifier sur le site preprod
- « ECRAN » ECRIT PLUS GRAND,fait,Le mot « ÉCRAN » se lit désormais d'un seul coup d'œil en haut du plan de salle.,
